,bothfoot_L,swing_L,bothfoot_R,swing_R,stand_L,stand_R,cluster_id
685,1275,568,1066,749,271,255,0
686,1162,560,945,720,217,225,4
687,2783,577,1065,645,170,1968,7
688,1369,543,1350,780,204,385,0
689,1115,588,931,749,182,184,4
690,9459,934,1021,1125,8083,251,6
691,1187,577,1126,719,198,270,4
692,1106,485,991,659,231,216,4
693,24251,652,22381,675,200,23376,3
694,3107,571,1110,810,194,2103,7
695,1980,158,976,1154,615,211,0
696,951,562,1006,570,148,233,4
697,1077,485,975,675,137,265,4
698,955,497,810,600,167,188,4
699,963,516,885,570,172,221,4
700,1023,573,900,630,181,212,4
701,901,494,795,555,178,168,4
702,874,493,840,540,166,168,4
